"date","device","rage_clicks","dead_clicks","scroll_depth_pct"
"2026-07-12","desktop","0","7","37.48"
"2026-07-12","mobile","608","1689","25.76"
"2026-07-12","tablet","0","0","42.81"
"2026-07-13","desktop","3","51","39.81"
"2026-07-13","mobile","853","1821","25.63"
"2026-07-13","tablet","0","1","44.69"
"2026-07-14","desktop","1","44","37.38"
"2026-07-14","mobile","246","1042","25.74"
"2026-07-14","tablet","0","0","36.91"
"2026-07-15","desktop","8","49","41.20"
"2026-07-15","mobile","283","1538","26.79"
"2026-07-15","tablet","0","0","28.08"
"2026-07-16","desktop","6","43","37.79"
"2026-07-16","mobile","565","1691","26.93"
"2026-07-16","tablet","0","0","38.70"
"2026-07-17","desktop","12","74","41.04"
"2026-07-17","mobile","863","1902","25.93"
"2026-07-17","tablet","0","1","39.82"
"2026-07-18","desktop","4","45","39.67"
"2026-07-18","mobile","148","1135","25.98"
"2026-07-18","tablet","0","0","38.67"
"2026-07-19","desktop","1","16","37.72"
"2026-07-19","mobile","495","1594","26.58"
"2026-07-19","tablet","0","0","33.74"
"2026-07-20","desktop","0","28","39.26"
"2026-07-20","mobile","176","982","25.07"
"2026-07-20","tablet","0","0","37.02"
"2026-07-21","desktop","0","49","39.93"
"2026-07-21","mobile","350","1314","25.33"
"2026-07-21","tablet","0","0","37.83"
"2026-07-22","desktop","7","35","38.26"
"2026-07-22","mobile","232","1378","24.98"
"2026-07-22","tablet","0","0","39.49"
"2026-07-23","desktop","0","13","38.37"
"2026-07-23","mobile","305","1108","25.45"
"2026-07-23","tablet","0","2","31.60"
"2026-07-24","desktop","0","16","37.58"
"2026-07-24","mobile","173","958","25.31"
"2026-07-24","tablet","0","3","39.73"
"2026-07-25","desktop","5","39","39.58"
"2026-07-25","mobile","439","1378","25.79"
"2026-07-25","tablet","0","0","25.70"
"2026-07-26","desktop","1","33","40.98"
"2026-07-26","mobile","270","1136","26.24"
"2026-07-26","tablet","0","0","39.36"
"2026-07-27","desktop","4","40","39.67"
"2026-07-27","mobile","302","1105","26.16"
"2026-07-27","tablet","0","0","25.33"
"2026-07-28","desktop","2","24","37.6"
"2026-07-28","mobile","486","1289","24.92"
"2026-07-28","tablet","0","0","25.97"
"2026-07-29","desktop","4","55","40.79"
"2026-07-29","mobile","127","915","24.88"
"2026-07-29","tablet","0","0","46.04"
"2026-07-30","desktop","0","26","38.35"
"2026-07-30","mobile","184","1043","26.24"
"2026-07-30","tablet","0","0","49.58"
"2026-07-31","desktop","5","67","42.76"
"2026-07-31","mobile","157","985","26.29"
"2026-07-31","tablet","0","5","44.41"
"2026-08-01","desktop","1","35","42.81"
"2026-08-01","mobile","278","1273","25.91"
"2026-08-01","tablet","0","1","38.00"
"2026-08-02","desktop","2","17","37.13"
"2026-08-02","mobile","347","1545","26.07"
"2026-08-02","tablet","0","0","38.43"
"2026-08-03","desktop","0","41","41.92"
"2026-08-03","mobile","544","1688","26.52"
"2026-08-03","tablet","0","0","36.51"
"2026-08-04","desktop","2","47","39.69"
"2026-08-04","mobile","385","1272","26.72"
"2026-08-04","tablet","0","5","40.92"
"2026-08-05","desktop","3","30","39.96"
"2026-08-05","mobile","253","1345","26.37"
"2026-08-05","tablet","0","9","51.45"
"2026-08-06","desktop","0","41","37.28"
"2026-08-06","mobile","434","1388","26.62"
"2026-08-06","tablet","0","0","44.95"
"2026-08-07","desktop","0","25","38.18"
"2026-08-07","mobile","485","1454","26.62"
"2026-08-07","tablet","0","0","42.85"
